TF pair	Coregulation coefficient	#genes shared	List of genes shared
MIG3:YAP5	2.886	2	YER189W:YRF12
TEC1:YAP3	2.88766	2	FIG1:MFA2
GLN3:AZF1	2.89184	4	CAN1:CLN3:IZH3:RPA34
STP4:SWI4	2.89477	2	GON7:YJL185C
TOS4:WAR1	2.89491	3	DBF20:RPC40:YCR100C
OAF1:PPR1	2.89939	2	BUB1:YDR048C
SWI4:RLM1	2.89971	13	CIS3:CRH1:CWP1:EXG1:GIC2:MID2:MNN1:SNA2:SPS4:UTR2:YDR524CB:YEL001C:YOR315W
NDT80:STB5	2.90191	1	YDR084C
SUT1:HMS1	2.90191	1	ERG26
SUT1:HAL9	2.90254	4	ERG26:GPI15:MSN4:YOL159C
DAT1:SOK2	2.905	6	YDR544C:YNL337W:YNL338W:YRF11:YRF16:YRF17
ACE2:MSS11	2.90669	3	RMI1:SKS1:YPL025C
SKN7:HMS2	2.90748	10	BAT2:HEF3:MGA1:RPI1:SPO20:STB4:SUT2:TIR1:UTH1:YKR040C
RDS1:PUT3	2.91163	6	AAD3:ADH7:COT1:ERG1:YER138C:YGR176W
GCN4:DAL81	2.91375	27	ARG1:ARG3:ASN1:BAP2:CAN1:CPA2:FRS2:GAT1:GAT2:GID8:GLT1:GNP1:ICY1:LAP4:MCH4:MCT1:NPR2:ODC2:OPT1:PEX2:QDR3:SMT3:TIP41:UGA3:YMR1:YPR038W:YPR039W
PHD1:ARG80	2.91566	4	CUP9:DIP5:PPN1:YHP1
SMP1:YAP5	2.91804	23	BSC3:COS1:COS3:GRX5:MSR1:MUM2:RPL16A:VPS55:YBL111C:YDR543C:YDR544C:YER188CA:YER189W:YIL174W:YIL175W:YLR162WA:YLR463C:YML133C:YNL337W:YNL338W:YRF11:YRF15:YRF16
MAC1:AZF1	2.91842	2	RPA34:YAR009C
RTG3:DAL80	2.91992	8	ADH7:ARO1:DAL2:DOS2:SRL2:YDR042C:YDR067C:YDR084C
PDR1:ACE2	2.92159	14	EGD2:MDM31:MSR1:MUM2:SFL1:SMP2:SNQ2:VPS55:YER188CA:YER189W:YFR017C:YHL012W:YHL013C:YOR138C
SKN7:ACE2	2.92203	26	AMN1:CPR1:ERG6:FLO9:FRS2:GAT1:HOM2:ICS2:PMA1:RAS2:RBA50:RMI1:RPA14:SKS1:SMP2:SNA2:UTH1:YAP1:YDR154C:YDR157W:YDR524CB:YGL007W:YKR040C:YML007CA:YNR018W:YPL025C
MET28:HMS2	2.92226	1	BUB1
DAL80:HAL9	2.92354	4	YDR042C:YDR084C:YNL337W:YRF16
ZAP1:HAP1	2.92718	4	YER189W:YNL337W:YRF11:YRF16
RME1:MET4	2.92868	2	DFR1:MDM30
PDR3:SIP4	2.93169	1	YMR258C
RME1:FHL1	2.9324	12	MRM2:RPL1B:RPL22A:RPL22B:RPL33A:RPL41A:RPL7B:RPS22B:SEC59:TRS31:YFL034W:YJL200C
RME1:LEU3	2.93491	4	DFR1:MDM30:RPA34:RPL7B
SMP1:MIG3	2.93513	1	YER189W
GLN3:DAT1	2.93915	3	ERG26:YER189W:YRF12
HCM1:YML081W	2.93944	2	MAK32:YCR018CA
YAP5:RAP1	2.94202	41	BSC3:CHS7:FRS2:GAT1:HMLALPHA1:HMLALPHA2:LCB3:MATALPHA1:MATALPHA2:NAT3:RPL13A:RPL16A:RPL23B:RPL24B:RPL28:RPL2B:RPL31A:RPL39:RPL42B:RPS16B:RPS18A:RPS21B:RPS22A:RPS23B:RXT3:SLX8:TEF2:UTP6:VPS73:YDR544C:YEL074W:YEL075C:YEL076C:YEL076CA:YGR149W:YJL135W:YLR463C:YNL338W:YRF11:YRF15:YRF16
MIG2:GCR1	2.94204	2	HXT4:PDC1
SMP1:HAL9	2.9442	6	COS1:MNN1:SGE1:YEL001C:YNL337W:YRF16
NRG1:MIG2	2.94542	10	ENA1:GAL1:GAL10:HAP4:HXT13:HXT15:HXT16:HXT2:YEL070W:YKR075C
STP4:SWI6	2.94854	2	GON7:YJL185C
CYC8:HAP1	2.94941	2	COX6:CYC1
STP1:GZF3	2.95176	5	ERG26:HMRA2:MAK32:YCR018CA:YDR084C
UGA3:MET32	2.95202	4	YDR544C:YER189W:YRF11:YRF12
MSN4:ARR1	2.95595	5	GDH3:HMRA2:YDR210WD:YMR086CA:YMR087W
RDS1:BAS1	2.95857	3	COY1:YDR084C:YKL177W
RTG3:MSS11	2.96354	3	AAD3:ADH7:HIM1
YAP6:MSS11	2.96612	5	AAD3:ADH7:ERG1:YGR176W:YMR103C
MSN2:SKO1	2.96947	5	CWP1:DDR48:SUC2:YMR172CA:YMR173WA
RCS1:ARR1	2.9711	8	AAD3:AFG2:FIG1:HMRA2:PSK1:YAL018C:YMR086CA:YMR087W
YJL206C:YRR1	2.97176	1	RAD17
PUT3:ARG81	2.97247	5	AAC1:CPA1:EXO70:FLO1:YOR302W
GAT3:SOK2	2.97807	16	COS1:COS3:COS8:YDR544C:YEL074W:YEL075C:YHL049C:YIL177C:YJL225C:YLR462W:YML133C:YNL337W:YNL338W:YRF11:YRF16:YRF17
CAD1:CIN5	2.98311	15	ATR1:CCS1:CYT2:DDR2:GLY1:HSL1:HSP31:IES6:LAP4:NFU1:PHO81:PTM1:SRX1:TRX2:YEL045C
PHD1:RGM1	2.98596	2	YIL174W:YIL175W
RDS1:XBP1	2.98931	4	AAD3:ADH7:YPR126C:YPR127W
NRG1:ASH1	2.98937	11	AAD3:APT2:CDC6:ELO1:PDR5:RMI1:SED1:SGA1:YDR442W:YPL025C:YPL056C
UPC2:MIG2	2.98998	2	SRP14:YDL094C
YER130C:LEU3	2.99043	1	YFR007W
NRG1:SKN7	2.99097	46	AAC1:APT2:FLO9:GAT2:GID8:GLY1:HAP4:HEM13:HOR7:ICS2:IDH2:IES6:ISU2:MAK32:MGA1:MNN1:MOD5:MOT3:NDE1:NRG2:RHO3:RMI1:RPI1:SGA1:SOK2:SPO20:SPS4:TCB2:TIR1:TPO4:XBP1:YBL029CA:YBL029W:YCR018CA:YDR442W:YEL045C:YER010C:YGR050C:YKL044W:YKR075C:YLR112W:YOR227W:YOR315W:YPL025C:YPL230W:YPR013C
GCN4:GLN3	2.99119	28	ARG1:ARG3:ARG4:ASN1:CAN1:CAR1:COX9:CPA2:ECM32:FRS2:GAT1:GGC1:GLT1:GNP1:HIS4:IDP1:LAP4:MCH4:RPS0B:SMT3:TIP41:TMT1:UGA3:YHR029C:YLR047C:YMR1:YPR038W:YPR039W
SMP1:ARO80	2.99162	6	ECM15:RPL7B:UTR2:VIK1:YIL002WA:YPL251W
PHD1:CIN5	2.99716	35	ACA1:AMN1:ATR1:FET4:FLO10:FLO9:FSP2:HAP4:HXT12:HXT16:HXT3:HXT6:HXT9:ICS2:IME1:KTI12:MGA1:MRS1:MUC1:PET9:RHO3:RHO5:RPL43B:RPS3:SPO73:VAN1:YBL029CA:YBL029W:YGR250C:YIL171W:YIL172C:YIR020C:YIR020WB:YML131W:YPR013C
NRG1:SPT23	2.99865	6	ENA1:ERG26:MAK32:RSM10:YCR018CA:YMR258C
UME6:GAL80	3.0003	1	GAL1
SUM1:RGM1	3.0039	1	YRF11
LEU3:RTG1	3.00413	4	MAK32:YCR018CA:YDR042C:YJR100C
PDR1:SFP1	3.0043	9	RPL13A:RPL16A:RPL16B:RPL23A:RPL28:RPS16B:RPS24A:VPS73:YDR282C
ZAP1:RLM1	3.00751	2	EGD2:MDM31
HAC1:HMS2	3.00932	1	YFR007W
CUP2:FHL1	3.01023	1	SOD1
RCS1:STB4	3.01081	11	DCP2:MLS1:MOT2:PCS60:PRP2:URK1:YBR224W:YBR225W:YER066CA:YJR098C:YUH1
SWI5:MSN4	3.01216	30	COS1:DDR48:DFR1:HOR7:LSM3:MMF1:MRPL4:PCL7:RPL2A:SMP2:VTH1:YBL108CA:YBL108W:YBL111C:YEL076WC:YEL077C:YER188CA:YER189W:YGP1:YJL225C:YLR162WA:YML125C:YML131W:YMR172CA:YMR173WA:YRF11:YRF12:YRF13:YRF17:ZWF1
ARG80:FKH2	3.01222	5	CUP9:HOF1:PPN1:YHP1:YMR031C
PHD1:SWI6	3.01582	26	CIS3:FKS3:GAT2:GIC2:GID8:HCM1:PCL1:PPN1:PRY2:RBA50:RMI1:SCW10:SCW4:SNA2:SOK2:SPO20:UTR2:YBL029CA:YBL029W:YCR064C:YDR524CB:YHP1:YIL056W:YKR011C:YMR304CA:YPL025C
YFL044C:BAS1	3.01659	1	YIL002WA
UPC2:ARR1	3.01841	1	YDR210WD
DAL80:SKO1	3.02251	2	HSH49:YOR318C
THI2:ARO80	3.02297	3	ECM15:SNO3:SNZ3
YAP6:HAL9	3.02314	11	ERG26:YCR102C:YDR042C:YDR084C:YJR011C:YLR460C:YMR258C:YNL134C:YNL337W:YOL159C:YRF16
HAP1:INO4	3.02506	7	ACS2:ADO1:FAA1:FAS1:FAS2:SOD1:UBX6
GLN3:YAP3	3.02693	3	EXO84:MRPL24:SIF2
ACE2:GAL4	3.0283	11	AFG2:MSR1:MUM2:SFL1:SNQ2:VPS55:YDR010C:YER188CA:YER189W:YOR138C:YRF12
ARG80:YAP7	3.02883	5	ARG1:ARG3:MAK32:RML2:YCR018CA
MIG1:MOT3	3.03091	3	SOR1:SUC2:YEL070W
MIG3:MSN4	3.03352	2	YER189W:YRF12
CYC8:SUT1	3.03398	1	FLO9
SRD1:SWI5	3.04599	1	YFR017C
MIG3:YOX1	3.04816	3	MAK32:YCR018CA:YFR017C
MAL33:YAP3	3.05716	1	VPS55
GLN3:LEU3	3.05969	10	ERG26:GDH1:MAK32:NOC4:RPA34:SED1:YCR018CA:YDR278C:YER189W:YRF12
RPH1:RIM101	3.06053	5	AAD3:FLO1:PRP3:YDR084C:YDR282C
SPT23:MSN4	3.06122	6	DOM34:HMRA2:RLP7:YDR084C:YDR210WD:YJR011C
RTG3:XBP1	3.06588	10	AAD3:ADH7:ECM13:HIM1:HSP30:IDH1:NCE103:SED1:YGR050C:YMR135WA
HMLALPHA2:FKH1	3.07125	2	BAR1:STE12
SMP1:RME1	3.0766	6	DFR1:RPL7B:SBP1:SFL1:SMP2:YOR138C
SWI5:ZAP1	3.0838	4	COS1:YER188CA:YER189W:YRF11
MET28:GAL4	3.08499	2	ATG9:BUD30
GTS1:IXR1	3.08546	1	YAL064CA
YAP6:SOK2	3.08706	55	AAD3:AAP1':ACA1:APT2:CAF40:ENA1:FLO10:FLO9:FSP2:GAC1:GAT2:GID8:GRE2:HAP4:HXT15:HXT16:HXT9:IME1:IZH3:KEL2:KTI12:MAK32:MGA1:MRPL24:RHO3:RPI1:RPL43B:RPS3:RSM10:SED1:SGA1:SOR1:SOR2:SPO20:TCB2:UTR2:YBL029W:YCR018CA:YDR442W:YDR544C:YEL070W:YGR146C:YHR048W:YIL171W:YIL172C:YIR020C:YKL044W:YLL065W:YLR460C:YNL337W:YNL338W:YOR050C:YPR013C:YRF11:YRF16
TEC1:SWI6	3.08767	16	AGA1:CWP2:GAT2:GIC2:GID8:MNN5:MSB2:PCL1:PCL2:SIM1:SVS1:SWE1:TOS2:UTR2:YKL097C:YOR315W
PDR1:BAS1	3.09274	8	CTF19:HRK1:PAC1:VIK1:VTC3:YIL002WA:YOR268C:YPL251W
ADR1:YJL206C	3.09342	3	DAP2:FLO1:RAD17
PHO2:MET32	3.09405	8	ADE3:RAD59:RPS11B:SED1:SEN1:USO1:YLR428C:ZRT1
HCM1:YPR196W	3.09501	1	YNL337W
ACE2:RLM1	3.10398	9	AMN1:EGD2:HSP150:ICS2:MDM31:MUM2:SNA2:YDR524CB:YJL160C
YFL044C:GZF3	3.10848	1	UBX3
CYC8:ADR1	3.11041	1	FLO1
GLN3:ACE2	3.11538	16	EGD2:FRS2:GAT1:GCN4:MDM31:MRPL4:PMA1:UTH1:WSC4:YEL007W:YER189W:YGL007W:YHL029C:YKR040C:YNR018W:YRF12
RTG3:SIP4	3.11672	4	HIM1:MAK32:SPS2:YCR018CA
PHD1:GAT3	3.12847	9	COS4:YEL074W:YEL075C:YEL076C:YEL076CA:YIL174W:YIL175W:YPR202W:YPR203W
SKN7:RLM1	3.13196	17	AMN1:APQ12:CCW12:CIS3:EXG1:GIC2:HOG1:ICS2:MAK32:MNN1:RPA34:SNA2:SPS4:YCR018CA:YDR524CB:YLR111W:YOR315W
ASH1:RLM1	3.13307	4	CRH1:EXG1:POG1:SED1
THI2:UGA3	3.13315	3	ERG26:MAK32:YCR018CA
RTG3:DAL81	3.13518	15	ACO1:ARG3:BAT2:CPA2:DAL2:DLD3:GNP1:PRP22:SMT3:TIP41:YDR042C:YMR098C:YMR1:YPR038W:YPR039W
DAL80:HAP1	3.13864	11	MSR1:PUT1:PUT4:YDR543C:YDR544C:YER189W:YNL337W:YNL338W:YRF11:YRF12:YRF16
GAT1:YAP1	3.13963	12	CPA2:CYS3:ENA1:MAK32:MRPL24:OYE2:RSM10:YCR018CA:YDR084C:YLR302C:YMR1:YMR258C
PHD1:RLM1	3.13998	11	AMN1:CIS3:GDS1:GIC2:HXT15:HXT16:ICS2:SNA2:SOR1:UTR2:YDR524CB
PDC2:DAL81	3.1407	1	YDR042C
YJL206C:HMS2	3.14366	2	DAP2:RAD17
DAL80:ARG81	3.1463	3	YDR084C:YMR086CA:YMR087W
ASH1:SOK2	3.1496	15	AAD3:APT2:EXG1:HXT6:PDR5:PPN1:RMI1:RPL15B:SED1:SGA1:YDR442W:YHP1:YMR122WA:YPL025C:YPL056C
GAT1:HAC1	3.15357	2	MAK32:YCR018CA
SIP4:YAP7	3.15756	6	BAS1:HIM1:MAK32:UBP11:YCR018CA:YMR258C
HMLALPHA1:NRG1	3.16005	2	SGA1:STA1
MIG1:GAL4	3.16135	5	ATG9:BUD30:GAL1:GAL10:GAL3
PDR1:RAP1	3.16503	25	BSC3:CHS7:RPL12A:RPL13A:RPL16A:RPL16B:RPL23A:RPL23B:RPL27B:RPL28:RPL2B:RPL33A:RPL36B:RPL42B:RPS16B:RPS24A:SLX8:UGO1:VPS73:YDR544C:YLR463C:YNL338W:YRF11:YRF15:YRF16
ABF1:CAT8	3.16722	3	ACS1:IDP2:MLS1
LEU3:MAC1	3.16977	5	RPA34:RPL7B:YJR100C:YPR108WA:YPR109W
AZF1:PIP2	3.17158	2	RPA34:XBP1
TOS4:YPR196W	3.17359	1	YNL337W
YDR026C:RCS1	3.17373	7	DTR1:FZO1:NUT1:PRP2:SEC4:URK1:YGL152C
SPT23:AZF1	3.1746	1	IZH3
MIG1:SOK2	3.175	15	APT2:EMI2:ENA1:FSP2:GAC1:HAP4:HXK1:HXT13:HXT9:SOR1:SOR2:YDR442W:YEL070W:YIL171W:YIL172C
PPR1:ARG80	3.17863	1	YDR048C
ACE2:DAT1	3.17897	3	MSR1:YER189W:YRF12
XBP1:SIP4	3.17965	3	HIM1:YER189W:YRF12
NRG1:SWI4	3.18169	41	APT2:CDC6:CWP1:ELO1:FTR1:GAC1:GAT2:GID8:GNP1:LSM5:MGA1:MNN1:MOT3:MRS1:MUC1:PDR16:PHD1:RMI1:SFL1:SMT3:SNQ2:SOK2:SPO20:SPS4:TIR1:UTR2:YDR010C:YDR442W:YEL001C:YER010C:YFR017C:YGR050C:YIL056W:YIR020C:YIR020WB:YKL044W:YOR138C:YOR315W:YPL025C:YPL056C:YPR013C
XBP1:HMS2	3.18268	4	MGA1:RPI1:UTH1:YKR040C
YHP1:YRR1	3.18293	4	HPR1:RNH202:YDR286C:YDR287W
XBP1:YAP5	3.18391	19	AAD3:ADH7:BSC3:ECM13:MSR1:MUM2:UTH1:YDR543C:YDR544C:YER189W:YLR463C:YMR135WA:YNL337W:YNL338W:YRF11:YRF12:YRF13:YRF15:YRF16
THI2:SIP4	3.18877	2	MAK32:YCR018CA
FZF1:YJL206C	3.19488	1	YIL002WA
RIM101:SIP4	3.19488	3	MAK32:YCR018CA:YMR258C
DAL80:LEU3	3.1971	6	GDH1:YDR042C:YER189W:YNL337W:YRF12:YRF16
NRG1:FZF1	3.20163	5	FUN26:SFL1:YIL002WA:YOR138C:YPL034W
HAL9:AZF1	3.20358	2	AAR2:YDR042C
CBF1:CAT8	3.20649	3	ACS1:IDP2:SFC1
SMP1:MAL33	3.20924	5	FUN26:VIK1:VPS55:YER189W:YPL251W
SPT23:BAS1	3.21027	2	YBR099C:YDR084C
SUT1:PUT3	3.21047	10	AAC1:ACS2:ATR1:FTR1:LSM5:OLE1:PRM4:RIX7:SDS23:YLL033W
GAT3:LEU3	3.21336	5	COS1:YER188CA:YER189W:YNL337W:YRF16
GZF3:HMS1	3.2175	1	ERG26
PDC2:GLN3	3.2175	1	YLL025W
SKN7:PHD1	3.2191	35	AMN1:CIS3:FKS3:FLO9:GAT2:GIC2:GID8:GIT1:HAP4:ICS2:KTI12:MGA1:MSN4:PRY1:RBA50:RHO3:RMI1:RPS3:SCW10:SCW4:SET4:SGA1:SNA2:SOK2:SPO20:STB4:XBP1:YBL029CA:YBL029W:YDR524CB:YKL063C:YMR304CA:YPL025C:YPL230W:YPR013C
DAL80:RTG1	3.21957	4	LIN1:REC104:YDR042C:YDR084C
IXR1:DAT1	3.22061	1	YDR084C
ZAP1:RAP1	3.22182	6	HMLALPHA1:HMLALPHA2:MATALPHA1:MATALPHA2:YRF11:YRF16
RDS1:YAP6	3.22851	10	AAD3:ADH7:ERG1:YDR084C:YGL157W:YGR176W:YMR103C:YPR126C:YPR127W:ZWF1
ZAP1:SIP4	3.22893	1	YER189W
SWI4:SUT1	3.23034	14	APT2:CWP1:FTR1:GAT2:GID8:LSM5:MGA1:MOT3:PDR16:RPS3:SKS1:SOK2:YDR442W:YIR020C
ASH1:FKH2	3.23561	10	EXG1:PPN1:RMI1:SED1:SKM1:UTH1:YHP1:YKR040C:YOL114C:YPL025C
RCS1:PUT3	3.24137	46	AAC1:AAD3:ADH7:AKR1:ARN1:ARN2:CCC2:COT1:CRR1:CTH1:DBP2:ENB1:FET4:FIT2:FIT3:FRE1:FRE4:FRE5:FRE6:FTH1:FTR1:GIR2:GTS1:LSM5:MRS4:NMA2:PEX10:PRB1:SEC9:SIT1:SOF1:SPO20:STB4:TIS11:YEL059W:YEL067C:YGL072C:YGL074C:YGL182C:YGR011W:YHL039W:YLR137W:YMR251W:YMR320W:YNL114C:YTM1
ARG81:DAT1	3.24464	1	YDR084C
XBP1:ACE2	3.25424	11	HMS2:MSR1:MUM2:RPS4A:UTH1:WSC4:YER189W:YHL029C:YJR146W:YKR040C:YRF12
CYC8:YAP6	3.25697	3	FLO1:FLO9:IME1
SRD1:YAP1	3.25839	1	YFR017C
ABF1:WAR1	3.26211	4	MSS116:REF2:RPC40:YCR082W
SMP1:YML081W	3.26583	1	DFR1
OAF1:STP2	3.26797	1	YDR048C
YAP1:CIN5	3.26806	35	AAP1':ATR1:BUD20:CCP1:CCS1:CYT2:DDR2:DDR48:GLY1:GRE2:HSP31:IES6:MMT1:NMA2:OYE2:PHO81:ROX1:RPL10:SEC9:SPS4:SRX1:TCB2:TRX2:VAN1:YAP6:YCR102C:YEL045C:YGR011W:YHR048W:YLR460C:YML131W:YMR172CA:YMR173WA:YOR315W:YPR063C
SFP1:YRR1	3.27976	2	HPR1:VPS61
MAL33:BAS1	3.28012	3	AFG2:VIK1:YPL251W
GZF3:RLM1	3.28019	5	BSC3:MAK32:YCR018CA:YLR463C:YRF15
SUT1:CIN5	3.28981	19	ACA1:ACO1:APT2:ATR1:ECM13:FLO9:HAP4:HXT16:HXT6:MGA1:PRR2:RPI1:RPS3:RSB1:SED1:YBL029W:YDR442W:YIR020C:YPL062W
RME1:ACE2	3.29009	7	SFL1:SMP2:YER078C:YER078WA:YER079W:YFR017C:YOR138C
PUT3:HAP1	3.29122	21	AAC1:ACS2:AHP1:CRR1:ENT2:ERG1:FRE1:FRE4:FTR1:HMX1:LSM5:OLE1:PUT1:RIX7:SDS23:SLS1:SUE1:TSA1:YGR176W:YLL033W:YLR108C
TEC1:RLM1	3.29659	7	BSC3:GIC2:SRL3:UTR2:YLR463C:YOR315W:YRF15
GLN3:HMS1	3.29978	2	ERG26:SPS2
MET28:MET31	3.30033	1	MET16
ZAP1:ROX1	3.30665	5	EGD2:MDM31:YNL337W:YRF11:YRF16
ARO80:CUP9	3.30687	2	RPL7B:UTR2
LEU3:YRR1	3.30687	2	RNH202:UBR1
GZF3:ARG80	3.30797	2	MAK32:YCR018CA
MATALPHA1:STE12	3.30833	3	MF(ALPHA)1:MF(ALPHA)2:STE3
CST6:BAS1	3.30961	2	COY1:YKL177W
ZAP1:MAC1	3.30961	2	EGD2:MDM31
STB5:RTG1	3.31125	3	LIN1:REC104:YDR084C
CYC8:HAP4	3.31455	2	COX6:CYC1
SIP4:CHA4	3.32281	2	YER189W:YRF12
TEC1:SWI4	3.32397	18	AGA1:CDC48:CWP2:GAT2:GIC2:GID8:MNN5:MSB2:PCL1:PCL2:RAX2:SIM1:SVS1:SWE1:TOS2:UTR2:YKL097C:YOR315W
SKN7:XBP1	3.32431	21	APT2:DDR48:FKS3:GIC2:HSP30:MGA1:RPI1:SCW10:SGA1:SUR7:TCB2:UTH1:YBL029W:YDR442W:YGR050C:YKL044W:YKR040C:YML053C:YMR172CA:YMR173WA:YMR304CA
YAP3:ARG81	3.32446	1	YFR057W
SRD1:DAL81	3.32557	1	YLL032C
CYC8:NRG1	3.32852	3	FLO9:IME1:STA1
YJL206C:CIN5	3.32939	11	CCP1:FDH2:FET4:GLY1:GPT2:IES6:YEL045C:YPL276W:YPL277C:YPL278C:YPR013C
TOS4:YML081W	3.335	2	PDR5:YDR042C
MIG1:CIN5	3.33635	14	APT2:FSP2:GAC1:GDB1:HAP4:HXT11:HXT12:HXT3:HXT9:PDC1:YDR442W:YIL171W:YIL172C:YOL157C
RPH1:GZF3	3.33694	4	AAD3:ADH7:YDR084C:ZWF1
UGA3:STB5	3.3415	3	LIN1:REC104:YDR084C
SKN7:SWI6	3.34277	44	ASF1:BAT2:CCW12:CIS3:CWP2:ECM33:EXG1:FKS3:GAT2:GIC2:GID8:HOG1:KRE6:MNN1:MOT3:MSB2:NCA3:OCH1:PDS5:RBA50:RMI1:SCW10:SCW4:SKS1:SLM4:SMP2:SNA2:SOK2:SPO20:SPS4:UTH1:YBL029CA:YBL029W:YDR524CB:YKL096CB:YKL097C:YKR040C:YLR111W:YMR304CA:YNR018W:YOR315W:YPL025C:YPR158CC:YPR158CD
ACE2:FKH2	3.34704	24	AMN1:CTS1:DSE1:DSE2:FRS2:GAT1:LSM3:MRPL4:PMA1:RMI1:RSP5:SKS1:SPB1:UTH1:WSC4:YER078C:YER078WA:YER079W:YGL006WA:YGL007CA:YGL007W:YHL029C:YKR040C:YPL025C
MSN2:ARR1	3.34896	5	GDH3:HMRA2:YDR210WD:YMR086CA:YMR087W
NDT80:GAL4	3.34952	2	YDL034W:YDL036C
GAT1:MIG2	3.353	5	ENA1:HIM1:PET100:SHU2:YMR098C
SKN7:ASH1	3.3544	13	APT2:EXG1:FKS3:PCK1:PIL1:RMI1:SCW10:SGA1:UTH1:YDR442W:YKR040C:YMR304CA:YPL025C
RTG1:CUP9	3.3557	2	RSM26:YJR100C
YER184C:HAP4	3.35795	1	CKA1
PDR1:MSN4	3.35931	29	BSC3:BUD19:COS1:IPT1:KSS1:MSR1:SMP2:SNQ2:YBL111C:YDR544C:YER188CA:YER189W:YHR086WA:YHR087W:YIL174W:YIL175W:YLR162WA:YLR462W:YLR463C:YLR464W:YNL337W:YPR202W:YPR203W:YRF11:YRF13:YRF14:YRF15:YRF16:YRF17
MIG2:PHD1	3.36092	8	HAP4:HXT13:HXT15:HXT16:HXT2:HXT3:HXT6:YEL070W
DAT1:MSN2	3.36134	5	HMRA2:UPF3:YDR084C:YGR071C:YJR011C
GCN4:CUP2	3.36247	1	SOD1
ZAP1:PUT3	3.36757	4	LST4:MRP13:ZRT2:ZRT3
STB5:DAL80	3.37012	4	KNH1:LIN1:REC104:YDR084C
PHD1:SOK2	3.3713	43	ACA1:FLO10:FLO9:FSP2:GAT2:GIC2:GID8:HAP4:HXT13:HXT15:HXT16:HXT6:HXT9:IME1:KTI12:MGA1:MSN4:PPN1:RGS2:RHO3:RIM4:RMI1:RPL43B:RPS3:SET4:SGA1:SOR1:SPO20:UTR2:VTH1:YBL029W:YEL070W:YEL074W:YEL075C:YER034W:YHP1:YIL171W:YIL172C:YIR020C:YPL025C:YPR013C:ZMS1:ZRG8
RTG3:UPC2	3.37792	5	CIT2:CSN9:YDR179WA:YDR210WD:YER138C
RPN4:DAT1	3.38009	4	ERG26:YNL337W:YNL338W:YRF16
SIP4:MSS11	3.39097	1	HIM1
SIP4:RTG1	3.39155	2	MAK32:YCR018CA
HMRA1:GAL4	3.39213	1	HMLALPHA1
NRG1:CIN5	3.3934	57	ACA1:APT2:CCP1:FET4:FLO10:FLO9:FRE4:FSP2:GAC1:GLY1:GNP1:GPT2:HAP4:HXT11:HXT12:HXT16:HXT9:ICS2:ICS3:IES6:IME1:MCH5:MGA1:MIG3:MRS1:MUC1:NET1:PHD1:RHO3:RPI1:RPL43B:RSB1:SED1:SMT3:SOF1:SPO73:SPS4:TCB2:YAP6:YBL029CA:YBL029W:YDR042C:YDR442W:YEL045C:YGR035C:YHL041W:YIL171W:YIL172C:YIR020C:YIR020WB:YKL044W:YLR413W:YML131W:YOL157C:YOR315W:YPR013C:YPS3
YOX1:RGM1	3.39604	5	YNL337W:YNL338W:YRF11:YRF16:YRF17
LEU3:ROX1	3.40674	14	ALD5:BUD22:CAF40:COG8:DFR1:RPA34:RPS19A:SED1:YDR042C:YJR100C:YNL337W:YPR108WA:YPR109W:YRF16
FKH2:HMS1	3.41607	3	CKS1:ERG26:HSL7
CST6:GZF3	3.41821	2	YER189W:YRF12
FZF1:ACE2	3.41841	3	SFL1:VPS55:YOR138C
HAP4:CHA4	3.42114	8	HMLALPHA1:HMLALPHA2:MATALPHA1:MATALPHA2:YCL065W:YCR041W:YER189W:YIL002WA
RTG3:UGA3	3.42415	7	ADH7:DAL2:MAK32:MRPL24:YCR018CA:YDR084C:YDR210WD
CAD1:RGM1	3.427	1	MSR1
DAL81:ARG80	3.42994	4	ARG1:ARG3:DIP5:DLD3
YML081W:TYE7	3.4317	1	YDR042C
YAP6:DAL80	3.43908	16	ADH7:HSH49:MSR1:YBL109W:YBL111C:YBL112C:YBL113C:YDR042C:YDR084C:YDR543C:YDR544C:YNL337W:YNL338W:YOR318C:YRF11:YRF16
SWI4:SKN7	3.43918	48	APT2:BAT2:CIS3:CWP2:ECM33:EXG1:FKS3:GAT2:GIC2:GID8:KRE6:MGA1:MNN1:MOT3:MSB2:OCH1:PTR2:RAX2:RBA50:RMI1:RPS3:SCW10:SCW4:SKS1:SLM4:SNA2:SOK2:SPO20:SPS4:SUT2:TIR1:TSA2:UTH1:YDR442W:YDR524CB:YER010C:YGR050C:YIR018CA:YKL044W:YKL096CB:YKL097C:YKR040C:YMR304CA:YOR315W:YPL025C:YPR013C:YPR158CC:YPR158CD
RIM101:GZF3	3.44253	6	AAD3:ERG26:MAK32:RNH202:YCR018CA:YDR084C
RTG3:FZF1	3.44431	3	CSN9:YDR179WA:YGR271CA
CST6:MSN4	3.45337	7	DOS2:KSS1:PEX32:POP7:YDR067C:YER189W:YRF12
HMS2:MOT3	3.45661	3	RPI1:UTH1:YKR040C
PDR3:UGA3	3.45841	2	MRPL24:YMR258C
PDR3:CST6	3.45901	1	YKL077W
STP1:HAC1	3.45901	2	MAK32:YCR018CA
CAD1:MSN4	3.45964	15	AHP1:ATR1:CTT1:DDR2:HSP12:MRS4:MSR1:SOD2:SSA1:TPS1:TPS2:TRX2:TSL1:YKL071W:YLR108C
