TF pair	Coregulation coefficient	#genes shared	List of genes shared
PDR1:RCS1	1.05419	14	ADH7:COS3:CTF19:FIG1:HSH49:RPL36B:VIK1:VTC3:YDR543C:YHL012W:YHL013C:YNL337W:YOR318C:YPL251W
STE12:AZF1	1.05433	3	MRS1:MUC1:YAR009C
RPN4:HAP4	1.05437	7	ATP7:ERG26:PUT3:YDR066C:YNL337W:YNL338W:YRF16
RPH1:MIG2	1.05574	1	TPS1
PHO2:HAL9	1.05596	2	ERG26:YJR011C
HCM1:PDR1	1.05623	11	COS3:HBT1:SMP2:YHL049C:YLL065W:YLL066C:YML133C:YNL337W:YNL338W:YRF16:YRF17
STP1:TYE7	1.05652	3	ERG26:YDR042C:YUR1
RCS1:MSS11	1.057	3	AAD3:ADH7:THG1
RPN4:RAP1	1.05761	10	GEA2:PGK1:PIM1:RPL23A:RPS30A:UBI4:YEL023C:YLL037W:YNL338W:YRF16
STE12:ROX1	1.05781	15	AMN1:GAT2:GID8:MNT3:MRS1:MUC1:SRM1:SUT1:TOS2:UTR2:YAR009C:YER184C:YER185W:YIL015CA:YOR315W
IXR1:DAL80	1.05808	1	YDR084C
THI2:ASH1	1.05853	1	ARG3
UME6:GLN3	1.05862	9	ARG4:CAR1:FRS2:GAT1:GDH2:GNP1:SMT3:SPS2:UGA4
RCS1:GZF3	1.05978	7	AAD3:ADH7:HMRA2:YDR084C:YDR543C:YNL337W:ZWF1
GLN3:MET28	1.05999	1	IZH3
PLM2:DAL80	1.06051	5	DAL7:PRP3:UGA4:YDR544C:YRF11
CHA4:AFT2	1.06164	3	YER189W:YMR135WA:YRF12
MET32:RLM1	1.06247	2	RPA34:SED1
PHO2:SKO1	1.06247	1	SED1
SMP1:MBP1	1.06258	9	EGD2:EXG1:MDM31:MNN1:RPL21A:RPL7B:SMP2:VPS55:YBR190W
UME6:HMS1	1.06269	1	SPS2
YAP6:FHL1	1.06279	17	BUD20:FLO9:GAT2:GCN4:GID8:HMS2:RHO5:RPL10:RPL23A:RPS0B:RPS12:RPS19A:RPS3:RPS4A:YEL007W:YJR146W:YLR047C
CAD1:CBF1	1.06286	6	GLY1:GSH1:IES6:LSB6:PHO81:YEL045C
YAP3:CIN5	1.06405	2	MFA2:YNL146CA
GLN3:CIN5	1.06424	11	DUR1,2:GAP1:GLN1:GNP1:LAP4:RPI1:SED1:SMT3:WTM1:YOR315W:ZEO1
UME6:ARG80	1.06439	2	CAR1:CAR2
DAL80:GCR1	1.06541	1	GAP1
CAD1:SWI6	1.06886	4	TPS3:TSL1:VPS55:YDR132C
RPN4:RPH1	1.06928	3	BMH1:CTH1:GIR2
ARG81:MCM1	1.0698	2	ARG5,6:CAR1
SUM1:RCS1	1.07105	8	DTR1:FZO1:GYP6:PPH22:SPS1:YDL186W:YDR042C:YJL043W
HAP4:MET31	1.07123	2	EGD2:MDM31
YAP1:MET31	1.07181	2	CYS3:MRPL4
MGA1:XBP1	1.07192	2	AAD3:ADH7
SPT23:RAP1	1.07198	2	RPS0B:YLR047C
INO2:GCN4	1.07289	5	ADO1:CPT1:NOP13:NRK1:SOD1
YOX1:ARR1	1.07315	3	GDH3:HMRA2:YLR022C
PLM2:HMS1	1.07353	1	GDI1
YAP7:ROX1	1.07376	10	ARR2:ARR3:ERG11:TDH1:YCR102C:YDR042C:YER184C:YER185W:YHR048W:YNL134C
STE12:MET28	1.07636	2	MKC7:TAF12
ADR1:GCR1	1.07723	1	ADH1
MET32:YAP5	1.07735	6	XDJ1:YDR544C:YER189W:YLR089C:YRF11:YRF12
NRG1:YAP7	1.07742	13	ENA1:ISU2:MAK32:RSM10:SNQ2:TCB2:YCR018CA:YDR010C:YDR042C:YDR132C:YML131W:YMR258C:YOR227W
MSN4:ARG81	1.07801	3	YDR084C:YMR086CA:YMR087W
STE12:RTG1	1.0783	5	MAK32:NCA2:YCR018CA:YDR210WD:YOL159C
MIG2:HAL9	1.07874	1	YER134C
YAP7:AZF1	1.07915	2	IZH3:YDR042C
STE12:PPR1	1.07921	3	ARF3:YNR054C:YOR093C
