TF-pair	Coregulation-coefficient	#genes shared	list of genes shared
CHA4:CIN5	0.23627	1	XPT1
MCM1:YAP7	0.23695	2	ARR2:YDR278C
DAL80:SWI6	0.23703	1	MRPL4
ASH1:FHL1	0.23719	1	YPL056C
INO2:YAP6	0.23733	1	KEL2
UGA3:CIN5	0.23738	1	FLO10
SUT1:YAP7	0.23749	1	ATR1
YOX1:ARG81	0.23775	1	YDR084C
YAP6:BAS1	0.23879	1	YDR084C
RCS1:RAP1	0.23906	5	MLP2:PPH22:RPL36B:RPL40A:YDL186W
STP1:FKH1	0.23913	1	RCR2
FKH1:ROX1	0.23942	2	SPS4:YOR315W
ABF1:SOK2	0.23961	6	DHH1:ECM17:IML1:NOP58:STE7:ZMS1
RTG3:SMP1	0.23966	1	SGE1
ABF1:SWI6	0.23997	4	ECM33:ERG3:SLM4:SPT8
RDS1:SOK2	0.24073	1	AAD3
SWI4:HAP4	0.24107	2	MNN1:YEL001C
MBP1:MIG1	0.24112	1	ENA1
SWI5:CBF1	0.24118	3	ERG25:PSK1:YAL018C
RCS1:MET4	0.24199	1	MET14
OAF1:YAP6	0.24306	1	YPR148C
STP1:HAP1	0.24399	1	ERG26
PHO4:YAP5	0.24413	2	AFG2:PHO85
RCS1:FKH1	0.24515	4	CLB2:NST1:RCR2:SPC24
UME6:GZF3	0.24568	1	UGA4
ACE2:TYE7	0.24649	1	BMH1
BAS1:RAP1	0.24668	1	HIS4
MBP1:ARO80	0.24672	1	RPL7B
GCN4:RPH1	0.24677	1	YDR084C
RLM1:AFT2	0.24693	1	YGL261C
PHO2:TOS8	0.2482	2	HO:PEP5
UME6:FHL1	0.24854	4	ICY1:MSC6:RPS26B:YER130C
MET32:HSF1	0.24857	1	RPA34
HAP1:FHL1	0.24871	3	AAC1:ADO1:SOD1
MAC1:RAP1	0.25012	1	PMP1
STB5:FHL1	0.25016	1	YGR150C
MGA1:FKH2	0.25073	1	YOR315W
CAD1:RAP1	0.25141	1	DDR2
HAP4:MSN2	0.25195	2	SOD2:YGR272C
YHP1:HSF1	0.25203	2	HPR1:SSA3
ARO80:SKN7	0.25216	1	ARF2
PLM2:ACE2	0.25439	2	GCN4:PCL2
RPN4:CIN5	0.25544	3	GPX1:MFA2:TRX2
PHO4:MSN4	0.25599	2	LSM3:MRPL4
SUM1:AFT2	0.25649	1	YRF11
YHP1:FKH1	0.25684	2	ADH4:MNT2
GLN3:MSN2	0.25767	2	YEL007W:YOL159C
MIG1:TOS4	0.25775	1	YMR163C
REB1:MBP1	0.25777	4	CDC21:CDC9:RPA34:UFE1
PLM2:MSN2	0.25782	3	CYT2:SRX1:YOL159C
THI2:GCN4	0.2581	1	ARG3
TEC1:YAP1	0.25814	1	YOR315W
INO2:SWI4	0.25853	1	MOT3
UGA3:GCN4	0.25916	1	YDR084C
SKN7:CHA4	0.2592	1	ARF2
SWI5:STP1	0.25969	1	GRX5
SWI6:RAP1	0.26048	3	PLM2:RPL37B:TYE7
ARO80:MSN4	0.26053	1	RPL7B
HSF1:SUT1	0.26147	1	MGA1
HSF1:RLM1	0.26219	1	RPA34
TOS4:RTG1	0.2623	1	YDR042C
GLN3:CBF1	0.26251	3	GNP1:PUT1:SMT3
RME1:TOS4	0.26263	1	UBC8
MIG1:YAP5	0.26268	1	FES1
DAL81:GAL4	0.26283	1	OPT2
RPN4:MET32	0.26284	1	RPL23A
ADR1:AFT2	0.26343	1	FUN26
YAP5:RTG1	0.2647	1	AFG2
RCS1:FHL1	0.26545	7	AAC1:MLP2:RPL22A:RPL36B:RPL40A:TRS31:YJL200C
ABF1:FHL1	0.26627	6	ATO3:EFT2:GTT3:PMP2:RPL2A:RPL2B
STB5:SKN7	0.26636	1	KNH1
RPN4:YHP1	0.26686	2	YNL338W:YRF16
YHP1:HAP1	0.26722	2	YNL338W:YRF16
PLM2:RPH1	0.26778	1	PRP3
INO2:SWI6	0.26795	1	MOT3
PHD1:LEU3	0.26796	1	BAP2
TEC1:PUT3	0.26798	1	AAD3
CAD1:FKH2	0.26867	1	ATR1
BAS1:YAP7	0.26876	1	YDR084C
GZF3:SWI6	0.26891	1	ZWF1
STB5:TOS4	0.27002	1	YGR150C
REB1:GCN4	0.27014	4	GCV2:ILV1:MRPS17:TRP5
RAP1:PIP2	0.27085	1	PEX6
RTG3:PLM2	0.27187	2	YMC2:YOL159C
PLM2:MOT3	0.27205	1	NOT5
REB1:MOT3	0.27206	1	HSC82
FKH1:YAP5	0.27208	3	NST1:RPL39:RPS22A
OAF1:FKH2	0.27223	1	YPR148C
PLM2:SKN7	0.27224	4	CYT2:DAL7:LEU5:SRX1
FKH1:DAL80	0.27317	1	IFM1
MSN4:ASH1	0.27384	1	YMR315W
UME6:MOT3	0.27497	1	HSC82
RTG3:RAP1	0.27529	2	CPA1:YOR302W
MSN4:TYE7	0.27605	2	TDH3:YDR042C
MAL33:HCM1	0.27826	1	YHL050C
HSF1:SOK2	0.2789	4	CUP12:MGA1:SSH4:YGR146C
RPN4:RLM1	0.2789	1	ASE1
MBP1:INO4	0.27908	1	RNH202
MAC1:YAP7	0.28047	1	UBX6
CBF1:GCR1	0.2808	1	BMH1
SFP1:MCM1	0.28124	1	YOR315W
REB1:SMP1	0.28192	2	RPC19:YNL115C
UME6:MSN4	0.28212	4	CTT1:DDR2:MEI4:SSA1
ABF1:LEU3	0.28261	2	BAP3:CCT8
RPN4:SUT1	0.28281	1	ERG26
FKH2:FHL1	0.28294	4	PLM2:RPL37B:RPS1B:TEM1
YAP5:MCM1	0.28439	3	CDC47:UTH1:YGR168C
THI2:PLM2	0.28486	1	PRP3
GAT1:FHL1	0.28495	2	RPS0B:YLR047C
SUM1:HAP1	0.28524	1	YRF11
STE12:ABF1	0.28556	7	CIK1:CST6:KRE1:PRM2:SSF2:VTI1:YNL321W
YAP6:ARO80	0.28568	1	UTR2
NRG1:FKH1	0.28634	3	SPS4:YGR050C:YOR315W
HAP4:CIN5	0.28659	3	PET9:YBL029CA:YBL029W
PDR1:YAP7	0.28732	2	FLR1:SNQ2
SWI5:TOS4	0.28733	3	CRH1:DDR48:YMR172CA
GLN3:RCS1	0.28806	4	EXO84:LAP4:SIF2:SPO20
PLM2:ASH1	0.2886	1	POG1
THI2:RAP1	0.28869	1	PHO5
SWI6:YAP7	0.28953	3	SKM1:YDR132C:YOL114C
ABF1:TOS4	0.28984	6	CDC19:MKT1:MSN1:PTA1:RPC40:YNR036C
PLM2:MIG1	0.28989	1	ATG9
MIG1:RAP1	0.29119	1	PDC1
MGA1:FKH1	0.29164	1	YOR315W
OAF1:RCS1	0.29252	2	HAP2:YGL235W
STE12:ARG81	0.29294	1	CUP9
STP1:PDR1	0.29319	1	YIL002WA
RDS1:GCN4	0.29397	1	YDR084C
SKN7:GAL4	0.29468	2	SUR7:YML053C
PLM2:STB5	0.29505	1	YDR219C
CBF1:LEU3	0.29514	2	LEU4:MET4
CBF1:IXR1	0.29546	1	RHO3
STE12:LEU3	0.2962	2	MAK32:YCR018CA
NRG1:PLM2	0.29623	4	FAF1:HIS6:RAM1:YDL089W
RDS1:TOS4	0.29729	1	BLM3
ADR1:PHD1	0.2975	1	FLO1
PLM2:RTG1	0.29808	1	YOL159C
GCN4:HMS2	0.29884	1	STB4
INO2:HSF1	0.29941	1	CHO2
UME6:STB5	0.29985	1	POT1
HCM1:GCR1	0.30008	1	YAR064W
RCS1:CIN5	0.30089	8	FET4:FRE4:LAP4:NMA2:SEC9:SOF1:YDR042C:YGR011W
SFP1:SOK2	0.30109	2	GYP1:TCB2
UME6:YHP1	0.30173	3	ARO3:IME1:POT1
CIN5:MET31	0.3041	1	YDR042C
MGA1:HAP1	0.30414	1	YMR134W
ADR1:MCM1	0.30438	1	YDR210WD
ARO80:SWI4	0.30462	1	UTR2
STP1:ACE2	0.30468	1	YGR283C
NRG1:TOS8	0.30557	5	CYB5:GAL7:ISU2:YML131W:YOR227W
PHO4:YAP7	0.30567	2	DDP1:YRR1
YAP5:SWI6	0.30652	4	PUP3:RAD51:UTH1:VPS55
CBF1:SFP1	0.30674	2	PRE2:RPL11A
HCM1:FKH1	0.30682	4	CIK1:ESP1:YKL069W:YPT53
PDR1:HSF1	0.30695	2	HRK1:SNQ2
YAP5:MSN2	0.30735	4	BDH1:RNR3:SSA3:TKL2
STP1:TOS8	0.30766	2	PEX32:POP7
FKH1:PUT3	0.30834	2	RPN10:YHR199C
MGA1:PHD1	0.30845	1	DFG16
PLM2:MIG2	0.30907	1	YAR009C
THI2:SWI6	0.31077	1	SPO20
PLM2:PHD1	0.31088	3	GCN4:PAC2:RIM4
ABF1:YAP7	0.31126	5	BCP1:RPN10:VID27:YHR199C:YNL213C
STE12:SFP1	0.31176	2	TCB2:YOR315W
REB1:TOS8	0.31191	5	CYB5:RPB11:SDH1:SIN3:TKL1
TEC1:GCN4	0.3127	2	GAT2:GID8
SWI5:SUM1	0.31292	1	YRF11
PDR3:RCS1	0.31315	1	SPP2
SMP1:RIM101	0.31328	1	YIR020C
ARO80:SWI6	0.3136	1	UTR2
HSF1:FHL1	0.31364	4	TEF2:TKL2:TYE7:YBR116C
SUT1:YAP1	0.31384	1	ATR1
MBP1:DAL81	0.31451	3	CWP2:MNN1:YKL097C
SWI4:RTG1	0.31482	1	SPB1
TOS8:CIN5	0.3152	6	KRE6:NMD5:YHL045W:YHL046C:YLR460C:YML131W
RPH1:YAP7	0.31534	1	YDR084C
MAL33:SKN7	0.31543	1	XBP1
YHP1:DAL81	0.31596	2	XDJ1:YLR089C
HCM1:MET32	0.31702	2	XDJ1:YLR089C
FKH1:MAC1	0.31773	1	CUP9
MIG1:FKH2	0.31807	1	SWI5
RPN4:BAS1	0.31867	1	HSC82
MIG2:RAP1	0.3191	1	PDC1
CAD1:FKH1	0.31949	1	TSL1
CHA4:SWI6	0.31983	1	YMR144W
FKH1:GZF3	0.32071	1	CDC20
MAL33:TOS4	0.32112	1	GDH3
TOS8:GCR1	0.32159	1	APA1
RPN4:INO2	0.32203	1	PUP2
GLN3:TOS4	0.32284	3	DAL5:UTH1:YNR018W
REB1:SWI5	0.32319	3	ENO1:GCS1:SHS1
PUT3:RLM1	0.32326	1	YER138C
ARG81:FHL1	0.3233	1	AAC1
SWI4:MIG2	0.3241	1	PDC1
MIG1:YAP7	0.32512	1	ENA1
DAL81:SFP1	0.326	1	YOR315W
CAD1:PHD1	0.32605	1	ATR1
SUM1:CBF1	0.32657	2	SCP1:YOR365C
YHP1:FHL1	0.32687	4	RPP2A:RPS11B:RPS15:SEH1
MBP1:UPC2	0.32747	1	YDR210WD
HCM1:MSN2	0.32759	5	ISU2:YDL180W:YDR132C:YNL134C:YOR227W
PLM2:INO4	0.32766	1	CHO2
RPN4:CAD1	0.32817	1	TRX2
MET4:FHL1	0.32854	1	RPS19A
YHP1:MSN2	0.32962	3	HMRA2:MOT2:SSA3
HSF1:PIP2	0.33081	1	RPA34
ARO80:YOX1	0.33228	2	ASK1:SFK1
REB1:HMS2	0.33321	1	PRP22
YHP1:ACE2	0.33434	2	YGR283C:YJR149W
REB1:CBF1	0.33587	6	ACS1:HRR25:NDI1:RAD5:YML119W:YPL206C
PUT3:ABF1	0.33591	4	RIX7:RPN10:YHR199C:YLL033W
RCS1:ZAP1	0.33663	1	YNL337W
HSF1:ABF1	0.33692	5	ENO2:FES1:GSP1:HSP12:ROT1
MIG2:FKH2	0.33721	1	SWI5
UME6:HAP4	0.33747	3	RIP1:YEL025C:YLR297W
UME6:GAL4	0.33792	2	GAL1:VPS55
HAP4:YAP1	0.33888	2	SOD2:YBR099C
SIP4:CBF1	0.33976	1	SFC1
PDR1:SUT1	0.34036	1	PDR11
ADR1:PUT3	0.34059	1	FLO1
UME6:TOS4	0.34091	5	CDC19:DMC1:GSY1:SPO12:STR3
MGA1:YAP1	0.34337	1	YOR315W
SWI4:ABF1	0.34347	6	CAP1:ECM33:ERG3:LAC1:SLM4:SPT8
GCN4:GCR1	0.34366	1	HIS4
HSF1:YOX1	0.34374	6	AEP3:HCH1:SSA3:UBX3:YLR050C:YMR258C
REB1:YAP5	0.34402	5	ACS1:BPH1:NST1:TAF2:TKL1
ADR1:STE12	0.34424	2	LRG1:YDR210WD
PHO4:LEU3	0.3443	1	ILV1
MSN2:RAP1	0.34469	4	DDR2:MSN4:TYE7:UBI4
SWI5:DAL81	0.34508	2	FRS2:GAT1
HCM1:TYE7	0.34588	3	COG1:YMR324C:YMR325W
CBF1:CUP9	0.34658	1	RHO3
YHP1:PIP2	0.34714	1	POT1
GCN4:IXR1	0.348	1	YDR084C
ARO80:ROX1	0.34897	1	UTR2
PPR1:SOK2	0.34933	1	ATG11
MET32:TOS4	0.34947	2	MET6:STR3
HSF1:ROX1	0.34959	3	CPR1:RPA34:YGR146C
RTG3:YHP1	0.35064	2	HMRA2:PLC1
RTG1:AFT2	0.35102	1	AFG2
UME6:GAT1	0.35112	2	MEI4:SPS2
REB1:TEC1	0.35128	2	ACT1:GFA1
TEC1:UME6	0.35181	2	GIC2:SPS2
YHP1:SKN7	0.35193	4	ASF1:NCA3:RPP2A:RPS15
HCM1:PHO2	0.35233	3	MCH4:PEP5:SIM1
